Whisky,Age,MetaCritic,StDev,Num_of_Critics,Cost,Class,SuperCluster,Cluster,Country,Type
Kavalan Distillery Reserve Rum Cask,0,8.85,0.27,3,$125-300 CAD,SingleMalt-like,GH,G,Taiwan,Malt
Compass Box Double Single,0,8.84,0.31,8,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Blend
Compass Box Double Single (all editions),0,8.83,0.29,9,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Blend
Bruichladdich Laddie Ten 10yo,10,8.81,0.28,18,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glencadam 21yo,21,8.81,0.26,12,$125-300 CAD,SingleMalt-like,GH,H,Scotland,Malt
Arran Malt Orkney Bere Barley,0,8.8,0.31,8,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Benromach 5yo,5,8.8,0.19,4,$30-50 CAD,SingleMalt-like,GH,G,Scotland,Malt
Compass Box Enlightenment,0,8.79,0.21,5,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Kilkerran Work in Progress Bourbon Wood,0,8.79,0.38,12,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glen Breton Ice 17yo,17,8.78,0.1,3,$125-300 CAD,SingleMalt-like,GH,G,Canada,Malt
Glencadam 30yo,30,8.78,0.21,3,>$300 CAD,SingleMalt-like,GH,H,Scotland,Malt
Macallan 17yo Fine Oak,17,8.78,0.5,11,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Mackinlay's Shackleton Rare Old Highland Malt (both limited editions),0,8.78,0.36,18,$125-300 CAD,SingleMalt-like,GH,H,Scotland,Malt
Old Pulteney 21yo,21,8.78,0.43,20,$125-300 CAD,SingleMalt-like,GH,H,Scotland,Malt
Yamazaki Bourbon Barrel,0,8.78,0.24,9,$125-300 CAD,SingleMalt-like,GH,G,Japan,Malt
Balvenie 15yo Single Barrel (Cask),15,8.77,0.39,24,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glenmorangie Spios Private Edition No 9,0,8.76,0.24,12,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Sixteen 16yo,16,8.75,0.21,13,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glenmorangie Tusail,0,8.75,0.31,16,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Hakushu 10yo,10,8.74,0.2,4,$50-70 CAD,SingleMalt-like,GH,H,Japan,Malt
Bladnoch 19yo (Cow label),19,8.73,0.22,4,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Caol Ila 15yo Unpeated,15,8.71,0.41,12,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Hakushu 12yo,12,8.71,0.21,20,$70-125 CAD,SingleMalt-like,GH,H,Japan,Malt
AnCnoc 16yo,16,8.7,0.32,15,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Ten Years 10yo,10,8.7,0.12,5,$125-300 CAD,SingleMalt-like,GH,H,Sweden,Malt
Glenfiddich 26yo Excellence,26,8.69,0.46,6,>$300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Kavalan Podium,0,8.68,0.31,9,$70-125 CAD,SingleMalt-like,GH,G,Taiwan,Malt
Arran Malt 14yo,14,8.67,0.25,23,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Yamazaki 12yo,12,8.67,0.3,25,$70-125 CAD,SingleMalt-like,GH,G,Japan,Malt
Mackmyra The First Edition (Den FÌ¦rsta UtgÌ´van),0,8.66,0.33,17,$50-70 CAD,SingleMalt-like,GH,H,Sweden,Malt
Arran Malt 12yo Cask Strength (all editions),12,8.64,0.37,14,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Dalwhinnie 15yo,15,8.64,0.34,20,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Old Pulteney Huddart,0,8.64,0.22,3,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glenmorangie The Tarlogan,0,8.62,0.32,6,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Hibiki 12yo,12,8.62,0.24,21,$70-125 CAD,SingleMalt-like,GH,G,Japan,Blend
Stronachie 18yo,18,8.61,0.3,7,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Yamazaki Puncheon,0,8.61,0.24,11,$125-300 CAD,SingleMalt-like,GH,G,Japan,Malt
AnCnoc 12yo,12,8.6,0.32,20,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
BenRiach Cask Strength,0,8.6,0.43,9,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Compass Box Rivals,0,8.6,0.09,5,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Blend
Mackinlay's Shackleton Rare Old Highland Malt Journey edition,0,8.6,0.23,10,$125-300 CAD,SingleMalt-like,GH,H,Scotland,Malt
Kilkerran Work in Progress,0,8.59,0.34,15,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Longrow 10yo,10,8.59,0.41,13,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Tullibardine 20yo,20,8.59,0.29,5,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Westland Garryana,0,8.59,0.39,9,$125-300 CAD,SingleMalt-like,GH,G,USA,Malt
Aultmore 18yo,18,8.58,0.18,6,$125-300 CAD,SingleMalt-like,GH,H,Scotland,Malt
Linkwood 12yo (F&F),12,8.58,0.33,7,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Mackmyra Preludium 03,0,8.58,0.85,5,$125-300 CAD,SingleMalt-like,GH,H,Sweden,Malt
Mars Maltage Cosmo,0,8.56,0.23,5,$70-125 CAD,SingleMalt-like,GH,G,Japan,Malt
Inchgower 14yo (F&F),14,8.55,0.53,8,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Nikka Miyagikyo NAS,0,8.55,0.23,8,$70-125 CAD,SingleMalt-like,GH,H,Japan,Malt
Spirit of Hven Urania,0,8.55,0.47,3,>$300 CAD,SingleMalt-like,GH,H,Sweden,Malt
BenRiach 10yo,0,8.54,0.16,12,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Arran Malt 10yo,10,8.53,0.27,23,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Ichiro's Malt Chichibu The Floor Malted,10,8.53,0.41,7,>$300 CAD,SingleMalt-like,GH,G,Japan,Malt
GlenDronach 14yo Virgin Oak,14,8.52,0.37,11,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glen Breton 15yo Battle of the Glen,15,8.5,0.27,7,$125-300 CAD,SingleMalt-like,GH,G,Canada,Malt
Aultmore 12yo,12,8.49,0.22,15,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Tomatin Cu Bocan Virgin Oak Edition,0,8.49,0.48,3,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Bruichladdich Classic Laddie Scottish Barley,0,8.48,0.34,14,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glencadam 15yo,15,8.48,0.39,14,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glendalough 13yo Single Malt,13,8.48,0.31,9,$70-125 CAD,SingleMalt-like,GH,G,Ireland,Malt
Mackmyra Special 07,0,8.48,0.53,7,$70-125 CAD,SingleMalt-like,GH,H,Sweden,Malt
Balblair 2000,0,8.47,0.36,13,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Kavalan King Car Conductor,0,8.47,0.33,10,$70-125 CAD,SingleMalt-like,GH,G,Taiwan,Malt
Sheep Dip Blended Malt,0,8.47,0.39,14,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
AnCnoc Peter Arkle (all releases),0,8.46,0.3,9,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Ichiro's Malt Chichibu The First,0,8.46,0.41,12,>$300 CAD,SingleMalt-like,GH,G,Japan,Malt
Glen Grant 10yo (G&M),10,8.45,0.3,4,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glencadam 10yo,10,8.45,0.44,13,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Knappogue Castle 12yo,12,8.45,0.4,13,$50-70 CAD,SingleMalt-like,GH,G,Ireland,Malt
Macallan 12yo Fine Oak,12,8.45,0.37,17,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Yamazaki NAS,0,8.45,0.23,6,$70-125 CAD,SingleMalt-like,GH,G,Japan,Malt
Benromach Traditional,0,8.44,0.43,13,$30-50 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glenmorangie 10yo,10,8.44,0.43,25,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
FEW Single Malt,0,8.43,0.53,6,$70-125 CAD,SingleMalt-like,GH,G,USA,Malt
BenRiach 12yo,12,8.42,0.25,15,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Eight 8yo,8,8.42,0.46,7,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Talisker Skye,0,8.42,0.29,12,$30-50 CAD,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Classic (Edition 01),0,8.41,0.52,7,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra The Swedish Whisky (Brukswhisky),0,8.41,0.55,11,$30-50 CAD,SingleMalt-like,GH,H,Sweden,Malt
Kavalan Single Malt Whisky,0,8.4,0.49,18,$70-125 CAD,SingleMalt-like,GH,G,Taiwan,Malt
Penderyn Myth,0,8.4,0.33,6,$50-70 CAD,SingleMalt-like,GH,G,Wales,Malt
Stronachie 10yo,10,8.4,0.41,4,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Wemyss Malts The Hive,0,8.4,0.21,14,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glenkinchie Distiller's Edition (all editions),0,8.39,0.25,13,$70-125 CAD,SingleMalt-like,GH,B,Scotland,Malt
Hakushu Distiller's Reserve,0,8.39,0.16,5,$70-125 CAD,SingleMalt-like,GH,H,Japan,Malt
Craigellachie 13yo,13,8.38,0.56,16,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glen Garioch Founder's Reserve,0,8.38,0.35,19,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Hibiki Harmony,0,8.37,0.52,19,$70-125 CAD,SingleMalt-like,GH,G,Japan,Blend
Strathmill 12yo,12,8.37,0.28,3,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Tomintoul 25yo,25,8.36,0.71,6,>$300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Hazelburn 8yo (Springbank),8,8.35,0.39,11,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Ichiro's Malt Mizunara Wood Reserve (MWR),0,8.35,0.52,13,$125-300 CAD,SingleMalt-like,GH,H,Japan,Malt
Mackmyra Svensk Ek,0,8.35,0.23,4,$70-125 CAD,SingleMalt-like,GH,H,Sweden,Malt
Tomatin Cask Strength,0,8.34,0.48,10,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glenglassaugh Octaves Classic,0,8.33,0.28,5,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Hakushu NAS,0,8.32,0.32,5,$50-70 CAD,SingleMalt-like,GH,H,Japan,Malt
Mackmyra Special 02,0,8.32,0.71,3,$125-300 CAD,SingleMalt-like,GH,H,Sweden,Malt
Mackinlay's Shackleton Blended Malt,0,8.31,0.44,6,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Amrut Indian Single Malt,0,8.3,0.82,18,$50-70 CAD,SingleMalt-like,GH,G,India,Malt
Auchentoshan Valinch,0,8.3,0.61,14,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
BenRiach 20yo,20,8.3,0.7,11,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Hibiki Harmony Master's Select,0,8.29,0.65,7,$125-300 CAD,SingleMalt-like,GH,G,Japan,Blend
Highland Park Svein,0,8.29,0.4,12,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Tamdhu 10yo,10,8.29,0.58,18,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Tomintoul 16yo,16,8.29,0.4,18,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Wolfburn (NAS),0,8.29,0.36,10,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Arran Malt Lochranza Reserve,0,8.28,0.22,5,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Bladnoch Vintage 1992-2007 (Signatory),0,8.27,0.44,4,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Box (High Coast) Quercus I Robur,0,8.27,0.41,3,$70-125 CAD,SingleMalt-like,GH,G,Sweden,Malt
Glen Grant 12yo,12,8.27,0.52,9,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Mannochmore 12yo (F&F),12,8.27,0.14,4,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glen Grant 10yo,10,8.26,0.47,9,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glenfiddich 1963 Original Malt,0,8.26,0.42,8,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glengoyne 10yo,10,8.26,0.3,14,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Tullibardine Vintage 1993,0,8.26,0.43,10,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
White Oak Akashi 5yo,5,8.26,0.55,9,$125-300 CAD,SingleMalt-like,GH,G,Japan,Malt
Cardhu Amber Rock,0,8.25,0.29,4,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glendalough 7yo Single Malt,7,8.25,0.3,7,$50-70 CAD,SingleMalt-like,GH,G,Ireland,Malt
Nikka Taketsuru NAS,0,8.25,0.33,6,$70-125 CAD,SingleMalt-like,GH,G,Japan,Malt
Teerenpeli 10yo,10,8.25,0.4,6,$125-300 CAD,SingleMalt-like,GH,H,Finland,Malt
St George's Chapter 6 (unpeated),0,8.24,0.46,10,$50-70 CAD,SingleMalt-like,GH,G,England,Malt
Bladnoch 1993-2009 (G&M),0,8.23,0.2,5,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Bushmills 10yo Single Malt,10,8.23,0.33,21,$50-70 CAD,SingleMalt-like,GH,G,Ireland,Malt
Glen Breton Ice 10yo,10,8.23,0.59,8,$70-125 CAD,SingleMalt-like,GH,G,Canada,Malt
Glenkinchie 12yo,12,8.23,0.24,17,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glenrothes Alba Reserve,0,8.23,0.43,9,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Highland Park Harald,0,8.22,0.45,13,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
Tyrconnell Single Malt Irish Whiskey,0,8.22,0.39,17,$30-50 CAD,SingleMalt-like,GH,H,Ireland,Malt
Auchentoshan Virgin Oak,0,8.2,0.55,7,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Macallan Gold,0,8.2,0.29,17,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Stronachie 12yo,12,8.19,0.34,9,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glenlossie 10yo (F&F),10,8.18,0.31,9,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
The Quiet Man 8yo Single Malt,8,8.18,0.5,5,$50-70 CAD,SingleMalt-like,GH,H,Ireland,Malt
Tullibardine Sovereign,0,8.18,0.27,10,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Nikka Gold & Gold,0,8.17,0.27,8,$50-70 CAD,SingleMalt-like,GH,G,Japan,Malt
Deanston Virgin Oak,0,8.15,0.43,15,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glenglassaugh Evolution,0,8.15,0.3,9,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glenrothes Bourbon Cask Reserve,0,8.14,0.19,3,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Tormore 14yo,14,8.13,0.34,5,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Midnattssol,0,8.12,0.71,5,$70-125 CAD,SingleMalt-like,GH,H,Sweden,Malt
Glenfiddich 12yo,12,8.1,0.22,26,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glenturret 10yo,10,8.1,0.49,13,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Knappogue Castle Vintage,0,8.1,0.79,5,$50-70 CAD,SingleMalt-like,GH,H,Ireland,Malt
Speyburn 10yo,10,8.09,0.32,21,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Tomatin Legacy,0,8.09,0.43,11,$30-50 CAD,SingleMalt-like,GH,G,Scotland,Malt
Lohin McKinnon Single Malt,0,8.08,0.3,8,$50-70 CAD,SingleMalt-like,GH,H,Canada,Malt
Cardhu 12yo,2,8.06,0.48,21,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glen Breton 14yo,14,8.06,0.58,6,$70-125 CAD,SingleMalt-like,GH,G,Canada,Malt
Glen Spey 12yo (F&F),12,8.06,0.44,5,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Tullibardine Aged Oak Edition,0,8.05,0.43,9,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glen Breton 10yo Rare,10,8.04,0.45,15,$70-125 CAD,SingleMalt-like,GH,G,Canada,Malt
Glen Moray 12yo,12,8.04,0.28,14,$30-50 CAD,SingleMalt-like,GH,G,Scotland,Malt
Tomatin Cu Bocan,0,8.04,0.38,13,$70-125 CAD,SingleMalt-like,GH,H,Scotland,Malt
Glen Moray Classic,0,8.02,0.19,5,<$30 CAD,SingleMalt-like,GH,G,Scotland,Malt
Kilbeggan Irish Reserve Malt Whiskey,0,7.97,0.46,7,$30-50 CAD,SingleMalt-like,GH,G,Ireland,Malt
Pig's Nose 5yo Blended Malt,5,7.97,0.36,4,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Auchentoshan Classic,0,7.96,0.4,9,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Bladnoch 16yo (Signatory),16,7.94,0.44,4,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Knockando 12yo (All Vintages),12,7.92,0.43,12,$30-50 CAD,SingleMalt-like,GH,G,Scotland,Malt
White Oak Akashi Single Malt (NAS),0,7.92,0.48,7,$70-125 CAD,SingleMalt-like,GH,G,Japan,Malt
Tormore 12yo,12,7.91,0.38,9,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Glen Grant The Major's Reserve,0,7.89,0.59,11,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Speyside 12yo,12,7.86,0.63,10,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Tomintoul 10yo,10,7.82,0.51,16,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Auchentoshan 10yo,10,7.77,0.35,10,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Auchentoshan American Oak,0,7.75,0.87,8,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
BenRiach Heart of Speyside,0,7.72,0.88,7,$50-70 CAD,SingleMalt-like,GH,H,Scotland,Malt
Tamnavulin 12yo,12,7.7,0.79,4,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Loch Lomond,0,7.69,0.44,12,<$30 CAD,SingleMalt-like,GH,H,Scotland,Malt
McClelland's Highland Single Malt,0,7.09,0.57,7,$30-50 CAD,SingleMalt-like,GH,G,Scotland,Malt
McClelland's Lowland Single Malt,0,6.97,0.54,4,$30-50 CAD,SingleMalt-like,GH,H,Scotland,Malt
Port Ellen 2nd release 24yo 59.35%,24,9.48,0.21,7,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 9th release 30yo,30,9.48,0.11,5,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 14th release 35yo,35,9.4,0.12,3,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 10th release 31yo,31,9.37,0.53,5,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 15th release 32yo,32,9.35,0.4,3,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 7th release 28yo,28,9.33,0.3,4,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 11th release 32yo,32,9.31,0.44,6,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Caol Ila 30yo,30,9.3,0.21,12,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Talisker 35yo,35,9.3,0.32,3,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen (all OB releases),0,9.28,0.3,19,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 3rd release 24yo,24,9.23,0.27,9,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 16th release 37yo,37,9.21,0.37,3,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 6th release 27yo,27,9.2,0.15,7,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 17th release 37yo,37,9.19,0.7,3,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 4th release 25yo,25,9.19,0.13,5,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Talisker 30yo,30,9.18,0.33,13,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2018 6th Edition,0,9.17,0.21,5,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Talisker 18yo,18,9.14,0.21,20,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Springbank 16yo Local Barley,16,9.12,0.19,10,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Ledaig 42yo,42,9.11,0.46,3,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 12th release 32yo,32,9.07,0.48,10,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Springbank 11yo Local Barley,11,9.06,0.21,10,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2008 2nd Edition,0,9.05,0.28,4,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2015 5th Edition - 15th Anniversary,0,9.03,0.34,18,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Highland Park Sigurd,0,9.02,0.31,7,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Talisker 25yo,25,9,0.26,18,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart (all editions),0,8.99,0.29,23,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Nikka Yoichi 15yo,15,8.98,0.21,16,$125-300 CAD,SingleMalt-like,I,I,Japan,Malt
Oban 21yo,21,8.98,0.2,5,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Glen Garioch 1994,0,8.96,0.37,8,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Kilkerran 8yo Cask Strength,8,8.96,0.2,6,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Ledaig 13yo Amontillado Cask Finish,13,8.96,0.27,5,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Talisker 8yo 2018 Special Release,8,8.96,0.36,5,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte PC10 Tro Na Linntean,0,8.95,0.41,10,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Glen Garioch 1995,0,8.95,0.31,11,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Glen Garioch 1991,0,8.94,0.18,3,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Kilchoman Bourbon Single Cask,0,8.94,0.23,14,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Tomatin Cu Bocan 1989 Limited Edition,0,8.93,0.27,4,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box The Lost Blend,0,8.92,0.23,14,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 8th release 29yo,29,8.92,0.44,8,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Springbank 18yo,18,8.92,0.2,21,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Talisker 57 North,0,8.92,0.21,19,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte PC11 Eorna Na H-Alba,0,8.91,0.27,6,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2012 4th Edition,0,8.91,0.3,16,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Talisker Distiller's Edition (all editions),0,8.91,0.23,24,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
BenRiach 21yo Authenticus Peated,21,8.89,0.33,15,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte 10yo Heavily Peated (Second Edition),10,8.88,0.37,9,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2010 3rd Edition - 10th Anniversary,0,8.88,0.31,10,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Ledaig 19yo Marsala Finish,19,8.88,0.27,5,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Wemyss Malts The Rockpool,0,8.88,0.27,3,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Bladnoch 9yo Lightly Peated,9,8.87,0.58,4,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Caol Ila 25yo,25,8.87,0.2,12,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Kavalan Distillery Reserve Peaty Cask,0,8.86,0.31,4,>$300 CAD,SingleMalt-like,I,I,Taiwan,Malt
Talisker 10yo,10,8.86,0.23,25,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore Mizunara Cask Finish,0,8.85,0.43,3,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte PC12 Oileanach Furachail,0,8.83,0.45,11,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Dun Bheagan Islay 2009,0,8.83,0.2,3,$30-50 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte PC10 (Second Edition),0,8.81,0.2,6,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo (all editions),23,8.8,0.29,6,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
BenRiach 25yo Authenticus Peated,25,8.78,0.47,11,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Hakushu Single Malt Heavily Peated,0,8.78,0.32,12,>$300 CAD,SingleMalt-like,I,I,Japan,Malt
Bowmore 10yo Tempest,10,8.77,0.23,21,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte 10yo Heavily Peated (First Edition),10,8.77,0.2,8,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Infinity Third Edition,0,8.76,0.27,5,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Glenlivet Nadurra Peated Cask Finish,0,8.76,0.25,4,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Highland Park 12yo (reviews pre-2014),12,8.76,0.27,20,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
